"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra","Dance_Step"
4.5,17.0,12.5,"Salida","1","19.1","MC","DC","Z1","A3","19.1"
17.0,34.9,17.9,"Salida","2","19.2","MC","DC","Z1","A3","19.2"
34.9,53.7,18.8,"Salida","2","19.3","MC","DC","Z1","A3","19.3"
53.7,63.7,10.0,"Letra","1","19.4","MC","DC","Z3","A2","19.4"
63.7,73.7,10.0,"Escobilla","1","19.5","MC","DC","Z3","A1","19.5"
73.8,83.3,9.5,"Escobilla","1","19.6","MC","DC","Z3","A1","19.6"
83.3,92.9,9.6,"Cierre","1","19.7","MC","DC","Z3","A1","19.7"
92.9,102.8,9.9,"Respiro","1","19.8","MC","DC","Z1","A2","19.8"
102.8,112.1,9.3,"Marcaje","1","19.9","MC","DC","Z1","A3","19.9"
112.1,120.6,8.5,"Marcaje","1","19.10","MC","DC","Z2","A3","19.10"
120.6,139.1,18.5,"Marcaje","2","19.11","MC","DC","Z2","A3","19.11"
139.1,149.0,9.9,"Llamada Cierre","1","19.12","MC","DC","Z3","A1","19.12"
149.0,158.5,9.5,"Marcaje","1","19.13","MC","DC","Z2","A2","19.13"
158.5,169.0,10.5,"Pies","1","19.14","MC","DC","Z3","A1","19.14"
169.0,178.6,9.6,"Marcaje","1","19.15","MC","DC","Z2","A2","19.15"
178.7,197.7,19.0,"Remate","2","19.16","MC","DC","Z3","A2","19.16"

