"Begin Time - ss.msec";"End Time - ss.msec";"Duration - ss.msec";"Sequence";"Bloques";"Step";"Music_Mode";"Category";"Baile";"Guitarra"
5.6;18.8;13.2;"Salida";"2";"7.1";"MC";"DI";"Z1";"A3"
19.0;32.8;13.8;"Marcaje";"2";"7.2";"MC";"DI";"Z2";"A3"
32.9;46.2;13.3;"Marcaje";"2";"7.3";"MC";"DI";"Z2";"A3"
46.3;58.3;12.0;"Zapateado Marcaje";"2";"7.4";"MC";"DI";"Z3";"A2"
58.4;70.7;12.3;"Paseo Pitos";"2";"7.5";"MC";"DI";"Z2";"A2"
70.8;79.8;9.0;"Cierre";"2";"7.7";"MC";"DI";"Z3";"A1"
79.9;90.6;10.7;"Respiro Marcaje";"2.25";"7.8";"MC";"DI";"Z2";"A1"
90.7;97.0;6.3;"Cierre";"1.25";"7.9";"MC";"DI";"Z2";"A1"
97.1;109.0;11.9;"Marcaje";"2.75";"7.10";"MC";"DI";"Z2";"A1"
109.0;118.0;9.0;"Cierre";"2";"7.11";"MC";"DI";"Z3";"A1"
118.2;121.4;3.2;"Respiro";"0.5";"7.12";"MI";"DC";"Z1";"A1"

