Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra
6;17.1;11.1;Salida;2;3.1;MC;DC;Z2;A3
17.1;26.4;9.3;Salida;2;3.1;MC;DC;Z1;A3
26.4;36.4;10;Letra 1. Marcaje + Pies;2;3.2;MI;DI;Z2;A2
36.4;45.6;9.2;Letra ;2;3.2;MI;DI;Z3;A2
45.6;55.8;10.2;Escobilla. Respiro;2;3.3;MI;DI;Z3;A1
55.8;65.4;9.6;Movimiento;2;3.3;MI;DI;Z1;A2
65.4;75.8;10.4;Respiro;2;3.4;MI;DI;Z1;A2
75.8;84.8;9;Zapateado;2;3.4;MI;DI;Z3;A3
84.8;96;11.2;Cierre;2;3.5;MI;DI;Z2;A2
96.3;114.6;18.3;Escobilla comienzo;4;3.6;MI;DI;Z3;A2
114.7;130.7;16;Escobilla Clasica;4;3.7;MI;DI;Z3;A2
130.8;147.3;16.5;Escobilla ;4;3.8;MI;DI;Z3;A1
147.4;155.2;7.8;Llamada. mas corta. por el musico;2;3.1;MC;DI;Z2;A1
155.3;162.7;7.4;Cierre;2;3.11;MC;DI;Z2;A1
