"Begin Time - ss.msec";"End Time - ss.msec";"Duration - ss.msec";"Sequence";"Bloques";"Step";"Music_Mode";"Category";"Baile";"Guitarra"
2.6;14.4;11.8;"Salida";"2";"9.1";"MI";"DI";"Z2";"A3"
14.5;24.6;10.1;"Marcaje Pitos";"2";"9.2";"MI";"DC";"Z2";"A3"
24.7;35.8;11.1;"Marcaje";"2";"9.3";"MI";"DI";"Z1";"A3"
35.8;46.7;10.9;"Marcaje; Paseo";"2";"9.4";"MI";"DI";"Z2";"A2"
46.8;57.0;10.2;"Marcaje";"2";"9.5";"MC";"DC";"Z3";"A1"
57.0;66.4;9.4;"Marcaje";"2";"9.6";"MC";"DC";"Z3";"A1"
66.5;75.2;8.7;"Marcaje";"2";"9.7";"MC";"DC";"Z3";"A1"
75.2;85.6;10.4;"Respiro Pitos";"2";"9.8";"MI";"DI";"Z1";"A3"
85.6;96.5;10.9;"Marcaje Pitos";"2";"9.9";"MI";"DI";"Z2";"A3"
96.5;106.9;10.4;"Paseo Pitos";"2";"9.10";"MC";"DI";"Z1";"A3"
107.0;116.8;9.8;"Zapateado";"2";"9.11";"MC";"DI";"Z3";"A3"
116.9;126.6;9.7;"Zapateado Cierre";"2";"9.12";"MI";"DI";"Z3";"A1"
126.7;137.3;10.6;"Respiro";"2";"9.13";"MI";"DI";"Z1";"A2"
137.3;146.1;8.8;"Escobilla";"2";"9.14";"MC";"DC";"Z3";"A3"
146.2;154.6;8.4;"Escobilla";"2";"9.15";"MC";"DI";"Z3";"A3"
154.7;163.7;9.0;"Escobilla";"2";"9.16";"MI";"DI";"Z3";"A3"
163.7;172.6;8.9;"Escobilla";"2";"9.17";"MI";"DI";"Z3";"A3"
172.7;180.7;8.0;"Escobilla";"2";"9.18";"MI";"DI";"Z3";"A2"
180.8;192.9;12.1;"Cierre";"2";"9.19";"MI";"DI";"Z1";"A2"

