"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Category","Music_Mode","Step","ImpLevel"
9.5,28.0,18.5,"Introduction","4","DI","MC","1.1","3"
28.1,48.5,20.4,"Letra 1","4","DI","MC","1.2","5"
48.6,68.1,19.5,"Letra 2","4","DI","MC","1.3","5"
68.2,87.4,19.2,"Falsete - Menos zapateado ","4","DI","MC","1.4","5"
87.5,106.5,19.0,"Falseta 2 - No hay escobilla","4","DI","MC","1.5","4"
106.6,125.2,18.6,"Falseta 3 - No hay Escobilla","4","DI","MC","1.6","5"
125.3,144.6,19.3,"Letra 3 - Algo de zapateado","4","DI","MC","1.7","5"
144.7,160.0,15.3,"Escobilla ","4","DI","MC","1.8","5.5"
160.0,173.1,13.1,"Paseando","3","DI","MI","1.9","6.5"
173.1,187.0,13.9,"Remate - Cierre","3","DI","MC","1.10","5"

