"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra","Dance_Step"
7.1,22.0,14.9,"Salida","1","11.1","MC","DI","Z3","A3","11.52"
22.1,47.0,24.9,"Letra","2","11.20","MI","DI","Z2","A3","11.53"
47.0,58.4,11.4,"Movimientos","1","11.3","MC","DI","Z1","A3","11.54"
58.4,70.3,11.9,"Pitos","1","11.21","MI","DI","Z2","A3","11.55"
70.4,81.7,11.3,"Llamada","1","11.4","MC","DC","Z3","A2","11.4"
81.7,93.1,11.4,"Marcaje","1","11.5","MC","DC","Z3","A2","11.5"
93.1,103.4,10.3,"Escobilla","1","11.6","MC","DC","Z3","A1","11.6"
103.5,111.3,7.8,"Subida","1","11.7","MC","DC","Z3","A1","11.7"
111.4,116.8,5.4,"Subida","0.5","11.8","MC","DC","Z3","A1","11.8"
116.8,121.1,4.3,"Cierre","0.5","11.9","MC","DC","Z3","A1","11.9"
121.2,132.4,11.2,"Respiro","1","11.10","MC","DC","Z1","A1","11.10"
132.5,152.0,19.5,"Movimiento","2","11.11","MC","DI","Z1","A2","11.11"
152.0,163.2,11.2,"Marcaje","1","11.12","MI","DI","Z2","A2","11.12"
163.3,174.8,11.5,"Baile","1","11.13","MI","DI","Z3","A2","11.13"
174.8,186.1,11.3,"Marcaje","1","11.14","MI","DI","Z2","A2","11.14"
186.2,196.3,10.1,"Escobilla","1","11.15","MC","DI","Z3","A1","11.15"
196.4,207.3,10.9,"Cierre","1","11.16","MI","DI","Z3","A1","11.16"

