"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra"
5.1,18.9,13.8,"Salida","2","7.1","MC","DC","Z2","A3"
19.0,33.7,14.7,"Marcaje","2","7.2","MC","DC","Z2","A3"
33.7,46.3,12.6,"Escobilla","2","7.3","MC","DC","Z3","A3"
46.3,58.6,12.3,"Escobilla","2","7.4","MC","DC","Z3","A3"
58.7,70.6,11.9,"Marcaje","2","7.5","MC","DC","Z2","A2"
70.7,82.6,11.9,"Escobilla","2","7.6","MC","DC","Z3","A1"
82.7,88.8,6.1,"Cierre","1","7.7","MC","DC","Z3","A1"
88.9,99.9,11.0,"Respiro","2","7.8","MC","DC","Z1","A1"
100.0,104.4,4.4,"Cierre","0.5","7.9","MC","DC","Z2","A1"
104.4,115.4,11.0,"Paseo, Pitos","2","7.10","MC","DC","Z1","A1"
115.4,127.0,11.6,"Escobilla","2","7.11","MC","DC","Z3","A1"
127.1,133.6,6.5,"Respiro","1","7.12","MC","DC","Z1","A1"

