Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra
3.4;14.3;10.9;Introduction;2;8.26;MI;DC;Z1;A3
14.4;25.2;10.8;Introduction;2;8.27;MI;DC;Z1;A3
25.3;35.6;10.3;Salida;2;8.28;MI;DC;Z1;A3
35.7;46.0;10.3;Salida;2;8.29;MI;DI;Z2;A3
46.1;56.6;10.5;Marcaje;2;8.30;MI;DI;Z2;A3
56.7;66.9;10.2;Marcaje;2;8.31;MI;DI;Z2;A2
66.9;77.8;10.9;Respiro;2;8.32;MI;DI;Z2;A2
77.9;88.7;10.8;Escobilla;2;8.33;MC;DI;Z3;A2
88.8;98.7;9.9;Escobilla;2;8.34;MI;DI;Z3;A1
98.8;108.1;9.3;Remate;2;8.35;MI;DI;Z3;A1
108.1;113.1;5.0;Enganche;1;8.36;MI;DI;Z1;A2
113.2;121.9;8.7;Marcaje;2;8.37;MI;DI;Z2;A3
122.0;130.6;8.6;Marcaje;2;8.38;MI;DI;Z2;A3
130.7;139.8;9.1;Marcaje;2;8.39;MI;DI;Z2;A3
139.9;144.6;4.7;Cierre;1;8.40;MI;DI;Z2;A2
144.6;149.1;4.5;Marcaje;1;8.41;MI;DI;Z2;A3
149.2;157.6;8.4;Escobilla;2;8.42;MI;DI;Z3;A3
157.7;161.3;3.6;Escobilla;1;8.43;MI;DI;Z3;A3
161.3;166.0;4.7;Cierre;1;8.44;MI;DI;Z3;A1
