Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra;Dance_Step
8.6;15.9;7.3;Salida;1;12.1;MC;DI;Z2;A1;12.51
16.0;22.8;6.8;Entrada;1;12.2;MC;DC;Z3;A1;12.15
22.8;29.5;6.7;Entrada;1;12.3;MC;DC;Z3;A1;12.15
29.5;36.5;7.0;Pies;1;12.4;MC;DI;Z3;A1;12.52
36.6;43.3;6.7;Pies;1;12.5;MC;DI;Z3;A1;12.53
43.4;48.6;5.2;Subida;1;12.21;MI;DI;Z3;A1;12.54
48.7;52.7;4.0;Subida;1;12.22;MI;DI;Z3;A1;12.55
52.7;57.0;4.3;Llamada;1;12.6;MC;DI;Z3;A1;12.56
57.1;59.7;2.6;Cierre;0.5;12.7;MC;DI;Z2;A1;12.57
59.8;66.7;6.9;Respiro;1;12.8;MC;DC;Z1;A1;12.8
66.7;76.2;9.5;Movimiento;1;12.23;MI;DI;Z1;A2;12.58
76.3;83.5;7.2;Movimiento;1;12.9;MC;DI;Z1;A2;12.59
83.5;89.8;6.3;Movimiento;1;12.24;MI;DI;Z1;A2;12.60
89.9;97.7;7.8;Marcaje;1;12.12;MC;DI;Z1;A3;12.61
97.8;100.8;3.0;Marcaje;0.5;12.13;MC;DI;Z1;A3;12.62
100.9;107.0;6.1;Marcaje;1;12.13;MC;DI;Z2;A3;12.63
107.0;113.3;6.3;Marcaje;1;12.14;MC;DI;Z2;A2;12.64
113.4;119.4;6.0;Marcaje;1;12.25;MI;DI;Z2;A1;12.65
119.5;123.8;4.3;Respiro;0.75;12.26;MI;DI;Z2;A1;12.66
123.8;133.5;9.7;Escobilla;2.25;12.27;MI;DI;Z3;A1;12.67
133.6;137.4;3.8;Subida;1;12.28;MI;DI;Z3;A1;12.68
137.4;141.5;4.1;Llamada;1;12.19;MC;DI;Z3;A1;12.69
141.6;144.3;2.7;Cierre;0.5;12.20;MC;DI;Z1;A1;12.70

