"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra","Dance_Step"
5.0,15.1,10.1,"Salida","1","11.1","MC","DC","Z1","A3","11.1"
15.2,25.5,10.3,"Salida","1","11.1","MC","DC","Z1","A3","11.1"
25.6,35.9,10.3,"Letra","1","11.2","MC","DC","Z1","A3","11.2"
35.9,46.9,11.0,"Letra","1","11.2","MC","DC","Z1","A1","11.2"
47.0,59.3,12.3,"Letra","1","11.3","MC","DC","Z1","A1","11.3"
59.4,72.2,12.8,"Escobilla","1","11.4","MC","DC","Z3","A1","11.4"
72.3,84.8,12.5,"Pies","1","11.5","MC","DC","Z3","A1","11.5"
84.9,95.4,10.5,"Escobilla","1","11.6","MC","DC","Z3","A1","11.6"
95.5,103.3,7.8,"Subida","1","11.7","MC","DC","Z3","A1","11.7"
103.4,109.8,6.4,"Subida","1","11.8","MC","DC","Z3","A1","11.8"
109.95,113.15,3.2,"Cierre","0.5","11.9","MC","DC","Z3","A1","11.9"
113.2,124.9,11.7,"Respiro","1","11.10","MC","DC","Z1","A2","11.10"
125.0,136.5,11.5,"Respiro Marcaje","1","11.11","MC","DC","Z2","A2","11.11"
136.6,147.0,10.4,"Pies","1","11.12","MC","DC","Z3","A2","11.12"
147.1,158.0,10.9,"Marcaje","1","11.14","MC","DC","Z1","A2","11.13"
158.1,169.5,11.4,"Marcaje","1","11.15","MC","DC","Z2","A2","11.15"
169.6,179.9,10.3,"Marcaje","1","11.18","MC","DC","Z3","A1","11.18"
180.0,190.5,10.5,"Llamada Cierre","1","11.19","MC","DC","Z3","A1","11.19"

