"Begin Time - ss.msec";"End Time - ss.msec";"Duration - ss.msec";"Sequence";"Step";"Category";"Bloques";"Music_Mode";"Baile";"Guitarra"
2.3;19.9;17.6;"Salida";"10.1";"DC";"10";"MC";"Z2";"A2"
19.9;29.1;9.2;"Respiro";"10.2";"DC";"6";"MC";"Z2";"A2"
29.2;35.7;6.5;"Zapateado";"10.3";"DC";"4";"MC";"Z3";"A2"
35.8;44.8;9.0;"Zapateado Cierre";"10.3";"DI";"6";"MC";"Z3";"A2"
44.9;49.2;4.3;"Respiro";"10.4";"DI";"2";"MI";"Z2";"A1"
49.2;58.7;9.5;"Marcaje";"10.5";"DI";"6";"MI";"Z2";"A3"
58.8;62.1;3.3;"Remate";"10.6";"DI";"2";"MI";"Z3";"A1"
62.2;74.4;12.2;"Marcaje";"10.7";"DI";"7";"MI";"Z2";"A3"
74.5;76.1;1.6;"Cierre";"10.8";"DI";"1";"MI";"Z3";"A1"
76.2;87.8;11.6;"Escobilla";"10.8";"DI";"8";"MI";"Z3";"A1"
87.8;99.8;12.0;"Baile";"10.9";"DI";"8";"MC";"Z1";"A3"
99.8;111.4;11.6;"Marcaje";"10.10";"DI";"8";"MI";"Z2";"A2"
111.4;123.2;11.8;"Zapateado";"10.11";"DI";"8";"MC";"Z3";"A2"
123.3;127.0;3.7;"Cierre";"10.12";"DI";"2";"MI";"Z3";"A1"

