"Begin Time - ss.msec";"End Time - ss.msec";"Duration - ss.msec";"Sequence";"Bloques";"Step";"Music_Mode";"Category";"Baile";"Guitarra"
5.5;15.1;9.6;"Introduction";"2";"8.1";"MC";"DC";"Z1";"A1"
15.1;24.8;9.7;"Introduction";"2";"8.2";"MC";"DC";"Z1";"A1"
24.9;35.0;10.1;"Salida";"2";"8.3";"MC";"DC";"Z1";"A3"
35.1;44.9;9.8;"Marcaje";"2";"8.3";"MC";"DC";"Z2";"A3"
45.0;55.3;10.3;"Paseo Pitos";"2";"8.4";"MC";"DI";"Z1";"A3"
55.4;65.2;9.8;"Baile";"2";"8.5";"MC";"DI";"Z1";"A3"
65.3;75.0;9.7;"Respiro";"2";"8.6";"MC";"DI";"Z1";"A2"
75.1;85.4;10.3;"Respiro";"2";"8.21";"MI";"DI";"Z1";"A2"
85.5;96.6;11.1;"Escobilla";"2";"8.7";"MC";"DC";"Z3";"A1"
96.7;107.0;10.3;"Escobilla";"2";"8.8";"MC";"DI";"Z3";"A1"
107.15;114.7;7.55;"Subida Escobilla";"2";"8.9";"MC";"DC";"Z3";"A1"
114.7;123.0;8.3;"Escobilla Cierre";"2";"8.10";"MC";"DC";"Z3";"A1"
123.1;132.5;9.4;"Marcaje";"2";"8.11";"MC";"DI";"Z2";"A3"
132.6;143.5;10.9;"Marcaje";"2";"8.12";"MC";"DI";"Z2";"A3"
143.6;151.2;7.6;"Marcaje";"2";"8.13";"MC";"DI";"Z2";"A3"
151.3;155.4;4.1;"Cierre";"1";"8.14";"MC";"DI";"Z2";"A1"
155.5;164.2;8.7;"Escobilla";"2";"8.15";"MC";"DC";"Z3";"A1"
164.2;174.0;9.8;"Marcaje";"2";"8.16";"MC";"DI";"Z2";"A2"
174.1;183.4;9.3;"Marcaje";"2";"8.17";"MC";"DI";"Z2";"A2"
183.5;187.6;4.1;"Interludio";"1";"8.18";"MC";"DI";"Z1";"A2"
187.6;191.9;4.3;"Escobilla";"1";"8.19";"MC";"DC";"Z3";"A2"
191.9;200.6;8.7;"Remate Cierre";"2";"8.20";"MC";"DI";"Z3";"A2"

