,Time,Position X,Position Y,Position Z,Velocity X,Velocity Y,Velocity Z,Filtered Acc X,Filtered Acc Y,Filtered Axx Z
0,84.3345,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003467365308475333,0.0009247982164352924,5.9954527709025073e-05
1,84.3413,-3.5216124919381107e-07,9.307322007123828e-07,6.175108377183497e-08,-0.00010357683799820465,0.0002737447649154726,1.8162083462308774e-05,-0.002759704086675498,0.007285259871864891,0.00048475638311388743
2,84.348,-2.5376842883294556e-06,6.665433132803843e-06,4.503753766361629e-07,-0.0005488180990576943,0.0014381062595907074,9.784516813906899e-05,-0.010793123751815122,0.028157077259132992,0.0019407401346486688
3,84.3548,-1.0709052678144912e-05,2.790243355374914e-05,1.9313276675205637e-06,-0.0018545255450062542,0.004808070334806473,0.0003377290350623303,-0.028367201308186905,0.07291371699532331,0.005253773639867455
4,84.3615,-3.260576420742041e-05,8.414195751513815e-05,5.988469399630931e-06,-0.0046818062547684496,0.011979847265584972,0.0008733580491480468,-0.05769321595689588,0.14539008038276086,0.011050393219948483
5,84.3683,-8.214045166398209e-05,0.00020948416902078238,1.5397214346978045e-05,-0.009887219467753196,0.024885509059613384,0.0018939198765429467,-0.0984257325293204,0.24167205404617312,0.01955794330185187
6,84.375,-0.00017548598603847734,0.0004415108602829935,3.360437886217721e-05,-0.017977119151519737,0.044376189824679974,0.0035410546056100787,-0.14782506952763066,0.35161042888308525,0.030579668285909446
7,84.3818,-0.0003372942962372704,0.0008355041199100651,6.607983334997425e-05,-0.029613560318724978,0.07150418065389838,0.006010549655508998,-0.20117103987136484,0.46200286741330343,0.04348457113324562
8,84.3885,-0.0005856289430766332,0.0014270477808808139,0.00011743372087506476,-0.0445161850065128,0.1050760166509334,0.009318969008708463,-0.252454273862176,0.5598999823072328,0.05722136480078246
9,84.3953,-0.0009504661925592661,0.0022770323460497683,0.0001952827727604566,-0.06278888837053377,0.14491944369241444,0.013577810957540914,-0.2955743107023553,0.6350702687141291,0.07050834648530392
10,84.402,-0.0014395254102648543,0.0033928709415036434,0.0003030562958571693,-0.08319893781034687,0.1881667042045112,0.018593389966874728,-0.3256931018789549,0.681345633109687,0.08216231719509165
11,84.4088,-0.002080752872227235,0.004828664774945655,0.000449157448716182,-0.10539737453157516,0.23412559974912328,0.024377537344609942,-0.34007471657417876,0.6970376291671154,0.09131382572643149
12,84.4155,-0.0028615655837604596,0.006549370530817015,0.000633250303304105,-0.1276810468217987,0.27951790946658805,0.030575553577198794,-0.33822444518835143,0.6846720473537384,0.0973493874280732
13,84.4223,-0.0038045996569855242,0.008601414213502427,0.0008634981709610371,-0.14968191589094276,0.3240243501456525,0.03714440749824423,-0.32161799273427644,0.650149692125629,0.09966140210019966
14,84.429,-0.004875159608813798,0.010910105639003851,0.001134057049615958,-0.16988821898340542,0.36513726940752134,0.04361943687641874,-0.2934475257058865,0.6012983775523172,0.09743389450988478
15,84.4358,-0.0060929755661785195,0.013523101386867466,0.0014518928938891621,-0.18829294494748106,0.4033908917290211,0.049861693792193226,-0.2585406349114156,0.5459910014587723,0.08978171086042029
16,84.4425,-0.0074075142910969265,0.01633989314850907,0.001804256518186515,-0.20410667443143823,0.43744246995566244,0.055321477639930186,-0.22281806187814115,0.4905148610850512,0.07641023268872929
17,84.4493,-0.00884243772885802,0.019419850183707503,0.0021957247256514,-0.21792963079251457,0.46842724627938814,0.0598162304380049,-0.1917552532006619,0.43876980870334237,0.05839483500320602
18,84.456,-0.01034223042255805,0.022649773661353113,0.002607136874018339,-0.22976968075911466,0.4957290157030445,0.0629933660892699,-0.1686474606320015,0.39227666664737515,0.038314918263081865
19,84.4628,-0.01194122621039517,0.026104969359098784,0.0030420392001955805,-0.24052319801662161,0.5205050130459274,0.06491908278642014,-0.15386830095683482,0.3507964563891499,0.019440509315943974
20,84.4695,-0.01358565962667193,0.02966543851888985,0.0034796308975409383,-0.2503524486335206,0.5423216018178638,0.06570530448094751,-0.14532710846055558,0.31328501473419856,0.004491520800627126
21,84.4763,-0.015320359885488414,0.03342033432071144,0.00392634300966181,-0.25985350984203903,0.5620595163652227,0.06568061084875215,-0.13962542550486362,0.2786876756869636,-0.005232123656712999
22,84.483,-0.017091420481713703,0.03724390883655207,0.004364730950446862,-0.26882129500060115,0.5793060107498075,0.06518146102720178,-0.13334758705262803,0.24628336732705636,-0.009961642484757418
23,84.4898,-0.01894857573787725,0.041235567518994785,0.004805584158469583,-0.27740083916527947,0.5947112487924507,0.06448124721480612,-0.12396712720280603,0.21574519140445816,-0.01103892742851047
24,84.4965,-0.020832926748598643,0.04526446907505942,0.005235245110720499,-0.28509199985644756,0.6079459321232538,0.06377575345720417,-0.11014634304819262,0.18710917176146752,-0.010435801609757099
25,84.5033,-0.02279443428745671,0.04943791998573405,0.005666563205518727,-0.2918219821607699,0.6195396298401684,0.06308250971877588,-0.091696953092209,0.16060499089458996,-0.01035572426144649
26,84.51,-0.024767382706575934,0.05362152131384517,0.0060866742276031805,-0.29711784444116995,0.6292965875047111,0.06232376553014131,-0.0695053343410674,0.1363898723848021,-0.012739910086385881
27,84.5168,-0.026800803954036338,0.05792917070534403,0.006506911571829292,-0.30094722834144577,0.6376591158776111,0.06127545335992132,-0.04534422003625233,0.11441617947802665,-0.01870070509701586
28,84.5235,-0.028824498719568103,0.06222447663245366,0.006912293904667209,-0.3031407613699757,0.6445217578874065,0.05973419823357625,-0.02142536781139517,0.09447777041024137,-0.02821400656479236
