,Time,Position X,Position Y,Position Z,Velocity X,Velocity Y,Velocity Z,Filtered Acc X,Filtered Acc Y,Filtered Axx Z
0,133.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028178642348364715,0.0010831737058783837,-4.6964301591634546e-05
1,133.34,-3.059330362244357e-07,1.1612549806986857e-06,-5.163896694036223e-08,-8.740943892120489e-05,0.0003317871373422445,-1.4753990554378665e-05,-0.0022648656346647205,0.008583361242841033,-0.00038288950910586226
2,133.346,-1.8283702677975637e-06,6.8535974864338455e-06,-3.1003312606532354e-07,-0.0004200696382698186,0.0015656603645694037,-7.137739582060518e-05,-0.009042434321609887,0.03335665657592183,-0.0015417706370270976
3,133.353,-8.784966861764848e-06,3.224622257039756e-05,-1.4956076132962327e-06,-0.0015675293885765566,0.005689375373700758,-0.00026735817195941257,-0.02438851742486297,0.08678674492432568,-0.004168080073275673
4,133.36,-2.8779286148242498e-05,0.00010336209252243176,-4.903978552672723e-06,-0.00414513326469869,0.014629444612580212,-0.0007064620964331745,-0.05070932437841167,0.17367992787636324,-0.008625102525804633
5,133.367,-7.438749335185814e-05,0.0002613933874342871,-1.2645698224786977e-05,-0.008885783079235089,0.03052235393381522,-0.0015054578098925846,-0.08740831779158113,0.28935599516093957,-0.014653436991828323
6,133.373,-0.00014694477250500645,0.0005072534868716123,-2.4848370559448713e-05,-0.015299976638480102,0.0514310125452901,-0.0025620996349945066,-0.13061358772643542,0.4213406107637509,-0.021262389687070928
7,133.38,-0.000290671192330338,0.0009843500743530376,-4.8571315074824595e-05,-0.025764714740156708,0.08488229816359112,-0.004215884512250901,-0.17427392961184676,0.5532541975194656,-0.02692021751621059
8,133.387,-0.0005174216919765998,0.0017253453714307643,-8.492226417636836e-05,-0.03902114230158609,0.12683064385846518,-0.006170100945325607,-0.21194875926093454,0.6689003228415458,-0.030015387640153726
9,133.394,-0.000844684029911606,0.002784258818517843,-0.00013525320147272224,-0.05448238282263458,0.17571605530905535,-0.008210166853622372,-0.23851060165487084,0.7553638667078266,-0.029421420423625375
10,133.4,-0.0012147907133426936,0.00397625804854787,-0.00018930454277977845,-0.06888651165438993,0.22161702136760528,-0.009806946915395682,-0.2510935217972357,0.8048347760005462,-0.024853996828043956
11,133.407,-0.0017570794883860477,0.005722199627757385,-0.0002629627114232934,-0.08605313835788624,0.277223429834757,-0.011238244125593553,-0.24905183739369363,0.8152439742676609,-0.016846488052750457
12,133.414,-0.0024174181200411235,0.00785557593038538,-0.00034443558409162124,-0.10261504211562378,0.3323126566324236,-0.012039719494006564,-0.23347507059492226,0.7897668179091024,-0.0065042955894192706
13,133.421,-0.0031886276045032316,0.010364985984054253,-0.00042892476125031535,-0.11773052487339246,0.38466164441531364,-0.01210004540846022,-0.20691072469290725,0.7354077985239921,0.004746715217103025
14,133.427,-0.00392855337158881,0.012796225722414137,-0.00049974526054616,-0.12891139748845742,0.4257516017046167,-0.011506787690153742,-0.1731331780011678,0.661262056091719,0.015418435243943185
15,133.434,-0.00486812748374331,0.01592524360544295,-0.0005755209648571403,-0.139538348841208,0.4682535077315486,-0.010143413541539463,-0.1364803816822537,0.577020305568163,0.0243031282902273
16,133.441,-0.005873422026256573,0.019331412063604628,-0.000639901843429744,-0.14768866330523317,0.5049374803139489,-0.008251123193477023,-0.1009769840271472,0.4917580258228266,0.0308282759263309
17,133.448,-0.006927764051647094,0.02297464354603928,-0.0006897208688198434,-0.15355191537755755,0.5359858003809217,-0.0059828840608269224,-0.06984739308489134,0.412826984405671,0.03525630174431622
18,133.454,-0.007859260605585557,0.02625744057459577,-0.0007190937323012009,-0.15694693593525158,0.5582798758045342,-0.003808070432958508,-0.045551190450903396,0.3449606876879801,0.03866678880710661
19,133.461,-0.00896696113479092,0.030241669138861966,-0.0007359717446445114,-0.1595389295517689,0.5800711425564226,-0.001014218807983921,-0.02996589282612875,0.28992239826092286,0.04273137686830142
20,133.468,-0.010090251165365553,0.034366653998261054,-0.0007320196304148859,-0.16140107918491414,0.5984959601329747,0.0021433943021664107,-0.02428736922859842,0.24688003614004267,0.049264888352919346
21,133.475,-0.01122641110287621,0.03861141063541223,-0.0007039334321287112,-0.16321604581789856,0.614291650480779,0.005881233779592043,-0.028591227961882678,0.213323436512059,0.05963612640814182
22,133.481,-0.012211889246742472,0.04233241367464744,-0.0006568298136722161,-0.16527666880417638,0.6260426959309112,0.009819972372572374,-0.041450460969530895,0.18610094898593404,0.07424372698998363
23,133.488,-0.013381020345045952,0.046756560428895484,-0.0005680930071632875,-0.16876078785372212,0.6379992338533406,0.015533400915674823,-0.060058472823740085,0.16224978160200598,0.09221557921253837
24,133.495,-0.014579278065733147,0.05125880362025996,-0.00043490112792826034,-0.1735985609138034,0.6483559636784483,0.022521421722877175,-0.08088883072109422,0.13949094171476045,0.11137865260821171
25,133.502,-0.015816256684006203,0.05582803788635804,-0.0002484341822973833,-0.17982390144967392,0.6571395409200697,0.030754848457335327,-0.10048490287122931,0.1164163760343499,0.12850016823427113
26,133.508,-0.01691431093131262,0.059789315304923284,-4.022051945646053e-05,-0.18619418098578452,0.6632862652682958,0.03864970582296964,-0.11604434126787967,0.09251410645205635,0.13985030026190284
27,133.515,-0.01824671626815216,0.06445161605326127,0.00026420655699174777,-0.1944930581125011,0.6687996628327314,0.048329458876809436,-0.1257413603222024,0.06811734740699345,0.14216687478541343
28,133.522,-0.019638743076931413,0.06914670462363429,0.0006356689963888047,-0.20322888725271554,0.6726542144157415,0.057802666665130994,-0.12877482847995025,0.044184045248787905,0.13383265580468287
