Time,Time,Sum Acc X,Sum Acc Y,Sum Acc Z
70.1933,70.1933,0.0003927017574371183,0.0010307130592631837,0.0005435872540340372
70.2,70.2,0.0036392987616275033,0.008584123006366354,0.004740192163739752
70.2068,70.2068,0.016740729112112884,0.035348133543485885,0.02058579523841594
70.2135,70.2135,0.05161753243469322,0.09826207027910064,0.060419500351303
70.2203,70.2203,0.12141758344571209,0.21193572874249553,0.13675282212135909
70.227,70.227,0.23489953219771423,0.3842891684727021,0.2572206061533725
70.2338,70.2338,0.39306453250385864,0.6160769082548958,0.4218174191529603
70.2405,70.2405,0.5895468971709533,0.9029970204013081,0.623523347360664
70.2473,70.2473,0.8127747644374411,1.2391511949561405,0.8512068841364138
70.254,70.254,1.0477916241934593,1.6204789799788584,1.0930088894394632
70.2608,70.2608,1.2777187336981994,2.046530114784087,1.3390152378378077
70.2675,70.2675,1.4859600742027788,2.5198063921278804,1.5827861208592025
70.2743,70.2743,1.659383919873047,3.0434561532352054,1.821621430487713
70.281,70.281,1.7910647356974305,3.618786867099647,2.0555381527794276
70.2878,70.2878,1.8809149732466262,4.243392197478384,2.2853701977580627
70.2945,70.2945,1.934175614130304,4.9097224620030415,2.510839944045463
70.3013,70.3013,1.9591766408553144,5.604135012417309,2.729267347634486
70.308,70.308,1.9655207217535555,6.3074339691065875,2.935058195373939
70.3148,70.3148,1.968164769771211,6.997537192500127,3.119796707729317
70.3215,70.3215,1.9707989214420678,7.653569489992701,3.27268191798185
70.3283,70.3283,1.9762629985716755,8.260857018578992,3.381211225137267
70.335,70.335,1.9975090371631377,8.816199311777046,3.4327712103700807
70.3418,70.3418,2.043754711213362,9.330209338029867,3.4472229362961735
70.3485,70.3485,2.1291234062863844,9.823982606686608,3.527724529798725
70.3553,70.3553,2.274813525328913,10.32277143346902,3.6612017547498623
70.362,70.362,2.506621286043365,10.85132100585119,3.822407063970558
70.3688,70.3688,2.848090310133169,11.43158705918648,3.9803271132966347
70.3755,70.3755,3.3134529064935156,12.080057622586807,4.106011274689696
70.3823,70.3823,3.9033101185933643,12.802701822013356,4.1776154026468335
70.389,70.389,4.602209225673931,13.589326756054824,4.1823310054444995
70.3958,70.3958,5.376902105321698,14.4112860594093,4.247457028170454
70.4025,70.4025,6.176624380538995,15.224367042394858,4.374808598261656
70.4093,70.4093,6.937519655435588,15.975201452179112,4.546317409279872
70.416,70.416,7.591081324561854,16.608383262561627,4.735473213836068
70.4228,70.4228,8.073829254371194,17.07253637917812,4.911284096029697
70.4295,70.4295,8.334908261443747,17.32490343786109,5.0430789830910205
70.4363,70.4363,8.339906408018685,17.334609361885338,5.104697226063088
70.443,70.443,8.608606652448278,17.584516109757164,5.132206585211326
70.4498,70.4498,9.153481359310579,18.09629155294018,5.259420994687857
70.4565,70.4565,9.964021640708289,18.85804224688234,5.48853058653472
70.4633,70.4633,11.018691155755036,19.84582245380697,5.814130045551204
70.47,70.47,12.286819383214176,21.027511508370015,6.22466284146178
70.4768,70.4768,13.730968597143743,22.367720229594944,6.704424903374015
70.4835,70.4835,15.30996373323518,23.83219996258446,7.235877669482112
70.4903,70.4903,16.98165385240286,25.39079821793141,7.801715159389911
70.497,70.497,18.704348522516153,27.018567168435542,8.386102204437213
70.5038,70.5038,20.43726638979814,28.69463263128497,8.974871217117071
70.5105,70.5105,22.14096586878574,30.398956193180766,9.554722428247585
70.5173,70.5173,23.778878047043722,32.108353329564075,10.112372827241717
70.524,70.524,25.31838579493759,33.79522318240425,10.634410292179282
70.5308,70.5308,26.709151203871706,35.42613506286782,11.092050708705619
70.5375,70.5375,27.822767020118537,36.94058455305835,11.394876258202004
70.5443,70.5443,28.42631698884653,38.21449156351758,11.42159016357817
70.551,70.551,28.57361649090697,39.072797161010094,11.967017095462696
