Time,Time,Sum Acc X,Sum Acc Y,Sum Acc Z
133.333,133.333,0.00028178642348364715,0.0010831737058783837,4.6964301591634546e-05
133.34,133.34,0.0025466520581483676,0.009666534948719416,0.0004298538106974968
133.346,133.346,0.011589086379758255,0.04302319152464125,0.0019716244477245943
133.353,133.353,0.03597760380462123,0.12980993644896693,0.006139704521000267
133.36,133.36,0.08668692818303289,0.3034898643253302,0.014764807046804902
133.367,133.367,0.174095245974614,0.5928458594862698,0.029418244038633225
133.373,133.373,0.3047088337010494,1.0141864702500207,0.05068063372570415
133.38,133.38,0.47898276331289613,1.5674406677694863,0.07760085124191474
133.387,133.387,0.6909315225738306,2.236340990611032,0.10761623888206846
133.394,133.394,0.9294421242287014,2.991704857318859,0.13703765930569384
133.4,133.4,1.180535646025937,3.796539633319405,0.1618916561337378
133.407,133.407,1.4295874834196307,4.611783607587066,0.17873814418648826
133.414,133.414,1.663062554014553,5.401550425496168,0.18524243977590754
133.421,133.421,1.86997327870746,6.136958224020161,0.18998915499301056
133.427,133.427,2.043106456708628,6.798220280111879,0.20540759023695374
133.434,133.434,2.1795868383908816,7.375240585680042,0.22971071852718103
133.441,133.441,2.2805638224180287,7.8669986115028685,0.2605389944535119
133.448,133.448,2.35041121550292,8.27982559590854,0.29579529619782813
133.454,133.454,2.395962405953824,8.624786283596519,0.33446208500493474
133.461,133.461,2.4259282987799526,8.914708681857443,0.37719346187323616
133.468,133.468,2.450215668008551,9.161588717997486,0.4264583502261555
133.475,133.475,2.478806895970434,9.374912154509545,0.48609447663429733
133.481,133.481,2.5202573569399647,9.56101310349548,0.560338203624281
133.488,133.488,2.5803158297637045,9.723262885097485,0.6525537828368193
133.495,133.495,2.661204660484799,9.862753826812245,0.763932435445031
133.502,133.502,2.761689563356028,9.979170202846595,0.8924326036793021
133.508,133.508,2.877733904623908,10.07168430929865,1.032282903941205
133.515,133.515,3.0034752649461103,10.139801656705643,1.1744497787266184
133.522,133.522,3.1322500934260606,10.18398570195443,1.3082824345313013
133.529,133.529,3.25747282352686,10.205822302149627,1.423884148750315
133.535,133.535,3.373327288803519,10.20768115803707,1.5142000950925427
133.542,133.542,3.4752136090486494,10.223208682818113,1.5760628690800516
133.549,133.549,3.559874357979787,10.253755844546324,1.6101635872579956
133.556,133.556,3.6252713596711295,10.297435504180276,1.620334025795258
133.562,133.562,3.670404493230829,10.353041007474195,1.628194684733945
133.569,133.569,3.695211127316591,10.42022892263534,1.6473592421896295
133.576,133.576,3.700459970594133,10.499484285978495,1.67144077215507
133.583,133.583,3.713516816303748,10.59167497886521,1.695223141492028
133.589,133.589,3.743789258086841,10.697340302343164,1.7151107760531676
