Time,Time,Sum Acc X,Sum Acc Y,Sum Acc Z
287.874,287.874,0.0002548060776683634,0.0004646476409060976,0.00013189959259955124
287.881,287.881,0.0019313073008967716,0.004097603431876394,0.0011578919187944276
287.888,287.888,0.00688214611946162,0.017849391894627337,0.005082865358326928
287.894,287.894,0.015247337111082499,0.05213885081897313,0.015168393464421788
287.901,287.901,0.022518507359171373,0.11675666683905897,0.035140416275957195
287.908,287.908,0.02642640732796707,0.21637957612871103,0.0679892237517823
287.915,287.915,0.05587116552416378,0.3482584822356089,0.11477846739520092
287.921,287.921,0.12691333875470362,0.5025090849004619,0.1738147808864132
287.928,287.928,0.2541811864603795,0.6642923663205247,0.24041971460780556
287.935,287.935,0.4478304879428605,0.8169804042258024,0.30735335646880085
287.942,287.942,0.7111358270114976,0.9455469963671257,0.36591113679273657
287.948,287.948,1.0392527872103043,1.0395865911157784,0.4075689858924988
287.955,287.955,1.4196460635079902,1.0954211544307562,0.42567117621778605
287.962,287.962,1.8339667909849207,1.116836149044003,0.43477630686772023
287.969,287.969,2.260683491271071,1.1192104567168972,0.4714134121128947
287.975,287.975,2.6778639865202525,1.1292655137795085,0.5329481729493114
287.982,287.982,3.065421000265112,1.1316077208116808,0.6145047411405377
287.989,287.989,3.405987100327666,1.1689249003310915,0.7097225706700252
287.996,287.996,3.6839044409622472,1.26436429002674,0.8109507189798928
288.002,288.002,3.880480175310115,1.4418576345246936,0.9037390830824367
288.009,288.009,3.9495057305789936,1.7356523032608868,0.9488428222698628
288.016,288.016,4.131483303184943,2.2019485069016453,1.033218707204177
288.023,288.023,4.77688245148231,2.9074871896863153,1.3590149121446795
288.029,288.029,6.106178889230371,3.891943654370431,2.0206385881549442
288.036,288.036,8.236555910288477,5.133934149714401,3.0442618196068003
288.043,288.043,11.123559220153275,6.54618722454347,4.367735364402499
288.05,288.05,14.565822440677083,8.001050995148226,5.857804129055976
288.056,288.056,18.25325339200868,9.367740503906044,7.347980252366721
288.063,288.063,21.83697179964481,10.540316661339169,8.676768775976567
288.07,288.07,24.995437383769456,11.45149394931434,9.715594134468642
288.077,288.077,27.4801379904206,12.076634087732465,10.383754396522557
288.083,288.083,29.139122809828308,12.428600298161664,10.651495068538823
288.09,288.09,29.923850493135784,12.545167917163734,10.767650144243394
288.097,288.097,29.965081884955737,12.61459433825399,11.213335469627154
288.104,288.104,30.706803034864365,12.817312265134854,11.907317822692765
288.11,288.11,31.97670148950516,13.101129633533242,12.754579290912172
288.117,288.117,33.589229905838955,13.417819372220645,13.659847158501897
288.124,288.124,35.37343927322371,13.727982668780086,14.539252689105169
288.131,288.131,37.18922247192196,14.004851061692435,15.328672267637497
288.137,288.137,38.931313415317554,14.23489596260115,15.988189477017606
288.144,288.144,40.52585353677338,14.416577409482844,16.502260666104352
288.151,288.151,41.92568332758184,14.559271277552513,16.875986722722917
288.158,288.158,43.10631348064014,14.682174760252694,17.12919169628913
288.164,288.164,44.06221143366508,14.81192290278123,17.290162473774544
288.171,288.171,44.80404947706352,14.978425572101456,17.390173409478823
288.178,288.178,45.357225187194636,15.20951034751199,17.459442446546145
288.185,288.185,45.76068482436074,15.525699187633679,17.524824988620818
288.191,288.191,46.06480507501247,15.93633359497175,17.608846276941073
288.198,288.198,46.3272231999448,16.43778086506088,17.729150092933768
288.205,288.205,46.605939979736604,17.014408478092466,17.897768037564735
288.212,288.212,46.95066486529552,17.64252913921989,18.12033348227473
288.218,288.218,47.39510566383928,18.29599813939576,18.39570609989067
288.225,288.225,47.95265666347894,18.951257515902146,18.716287141893112
288.232,288.232,48.61612900179621,19.590461666132835,19.069015239243267
288.239,288.239,49.36085556820875,20.20261113348326,19.437009087635886
288.245,288.245,50.15031658986417,20.783197408976605,19.80181061068497
288.252,288.252,50.943196437266685,21.332828265963013,20.145939812618447
288.259,288.259,51.700348920033484,21.855186452663325,20.455244717686707
288.266,288.266,52.39052214880297,22.35478235473169,20.720497872896352
288.272,288.272,52.9942054392071,22.835137930269475,20.937875354673324
288.279,288.279,53.50488416014106,23.297899148658413,21.108273561972346
288.286,288.286,53.92736236299645,23.742850600201965,21.235707275407034
288.293,288.293,54.27374184747328,24.168420938818556,21.325281094415185
288.299,288.299,54.55827561335432,24.572370738937586,21.381380871877703
288.306,288.306,54.79254874323848,24.95258247462804,21.406625307720766
288.313,288.313,54.98226981239684,25.30787285714834,21.41146683338712
288.32,288.32,55.12631914757715,25.638605551159408,21.44675436932705
288.326,288.326,55.21792870772547,25.94681125004032,21.512841745959594
288.333,288.333,55.247319916852575,26.23567426721458,21.608926493997174
288.34,288.34,55.289821637501014,26.50859464297223,21.7322028675342
288.347,288.347,55.41110917881277,26.76831384401414,21.877520411504282
288.353,288.353,55.61330667573899,27.016494561123395,22.037566265535524
288.36,288.36,55.89230311346672,27.25375345244864,22.20342242457276
288.367,288.367,56.237195040932136,27.479905202620387,22.365328961395598
288.374,288.374,56.631309675642996,27.69425678630259,22.5135277055237
288.38,288.38,57.05450573894975,27.895933608410484,22.639043659449552
288.387,288.387,57.485558985224856,28.084178891393403,22.734254198284095
288.394,288.394,57.90383136257982,28.25846045202992,22.793231761765664
288.401,288.401,58.29030120180119,28.418339224270003,22.811992770165656
288.407,288.407,58.62818373331783,28.56333176372134,22.835311885746453
288.414,288.414,58.90342025298737,28.69321718211474,22.900307365683698
288.421,288.421,59.10709822160786,28.808920512669133,23.00364127773996
288.428,288.428,59.24242772250715,28.912667470343973,23.13773767569172
288.434,288.434,59.33237793328208,29.005781890893488,23.290365016901355
