,Name,Duration,Participant,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Artist,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,p_LZ,p_dt_LZ,p_LZ_avg,p_dt_LZ_avg,p_IOI,p_IOI_avg,p_ncounts,p_ncounts_avg,norm_p_LZ,norm_p_dt_LZ,norm_p_LZ_avg,norm_p_dt_LZ_avg,norm_p_IOI,norm_p_IOI_avg,norm_p_ncounts,norm_p_ncounts_avg,g_LZ,g_dt_LZ,g_LZ_avg,g_dt_LZ_avg,g_IOI,g_IOI_avg,g_ncounts,g_ncounts_avg,norm_g_LZ,norm_g_dt_LZ,norm_g_LZ_avg,norm_g_dt_LZ_avg,norm_g_IOI,norm_g_IOI_avg,norm_g_ncounts,norm_g_ncounts_avg,annot_frac,number,Condition,Pair
566,P8_D5_G4_M6_R1_T1,6.0,P8,MC,DI,Z3,A1,12.3,P,1.0,5,5,2,5,7,7,5,5,5.0,3,3,1,4,3,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.75,4.666666666666667,4.208333333333334,D5,M6,R1,0.08844633552637596,0.0012457230355827627,0.06127111819458909,6.707597440443654e-18,0.10264249639249637,0.28177916733472286,80,650,0.8750000000000002,0.03125000000000008,0.5185185185185188,1.6735584111942173e-16,0.10264249639249637,0.28177916733472286,0.8333333333333333,0.4012345679012346,0.07723482820613116,0.0012457230355827375,0.06886803169848574,-0.00014874304902480763,0.16681547619047615,0.2035743899549869,49,,0.7187500000000008,0.11111111111111084,0.6138059701492544,0.10779436152570507,0.16264880952380947,0.2035743899549869,0.6944444444444444,0.6127694859038143,,2,D5_M6,P8_G4
567,P8_D5_G4_M6_R1_T1,5.4,P8,MC,DI,Z3,A1,12.4,P,1.0,5,5,2,5,7,7,5,5,5.0,3,3,1,4,3,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.75,4.666666666666667,4.208333333333334,D5,M6,R1,0.07972627427729666,-0.006643856189774716,0.06127111819458909,6.707597440443654e-18,0.14617003367003367,0.28177916733472286,47,650,0.7291666666666671,-0.04166666666666676,0.5185185185185188,1.6735584111942173e-16,0.14953703703703705,0.28177916733472286,0.625,0.4012345679012346,0.07640434618240932,0.004982892142331017,0.06886803169848574,-0.00014874304902480763,0.15079365079365073,0.2035743899549869,40,,0.7291666666666674,0.14814814814814847,0.6138059701492544,0.10779436152570507,0.15079365079365073,0.2035743899549869,0.7407407407407406,0.6127694859038143,,3,D5_M6,P8_G4
568,P8_D5_G4_M6_R1_T1,5.9,P8,MC,DI,Z3,A1,12.5,P,1.0,5,5,2,5,7,7,5,5,5.0,3,3,1,4,3,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.75,4.666666666666667,4.208333333333334,D5,M6,R1,0.07830259080805922,0.0014236834692374569,0.06127111819458909,6.707597440443654e-18,0.14280045351473922,0.28177916733472286,51,650,0.7500000000000006,0.035714285714286156,0.5185185185185188,1.6735584111942173e-16,0.13803854875283444,0.28177916733472286,0.619047619047619,0.4012345679012346,0.07545522386958435,-0.0028473669384748716,0.06886803169848574,-0.00014874304902480763,0.15527210884353737,0.2035743899549869,46,,0.6607142857142865,0.047619047619048054,0.6138059701492544,0.10779436152570507,0.15867346938775503,0.2035743899549869,0.7142857142857143,0.6127694859038143,,4,D5_M6,P8_G4
569,P8_D5_G4_M6_R1_T1,5.1,P8,MC,DI,Z3,A1,12.6,P,1.0,5,5,2,5,7,7,5,5,5.0,3,3,1,4,3,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.75,4.666666666666667,4.208333333333334,D5,M6,R1,0.07640434618240931,3.2959746043559335e-17,0.06127111819458909,6.707597440443654e-18,0.1557539682539682,0.28177916733472286,39,650,0.7500000000000003,0.08333333333333354,0.5185185185185188,1.6735584111942173e-16,0.14880952380952375,0.28177916733472286,0.5694444444444444,0.4012345679012346,0.06643856189774723,-0.003321928094887383,0.06886803169848574,-0.00014874304902480763,0.16527777777777775,0.2035743899549869,37,,0.6250000000000009,0.1851851851851849,0.6138059701492544,0.10779436152570507,0.15972222222222218,0.2035743899549869,0.7037037037037037,0.6127694859038143,,5,D5_M6,P8_G4
570,P8_D5_G4_M6_R1_T1,7.1,P8,MC,DI,Z3,A1,12.7,P,2.0,5,5,2,5,7,7,5,5,5.0,3,3,1,4,3,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.75,4.666666666666667,4.208333333333334,D5,M6,R1,0.08194089300722157,0.0011073093649624664,0.06127111819458909,6.707597440443654e-18,0.11926807760141094,0.28177916733472286,76,650,0.7916666666666671,0.027777777777778123,0.5185185185185188,1.6735584111942173e-16,0.11574074074074076,0.28177916733472286,0.7222222222222222,0.4012345679012346,0.07861896491233422,0.0044292374598498,0.06886803169848574,-0.00014874304902480763,0.14501763668430334,0.2035743899549869,64,,0.7777777777777783,0.1851851851851854,0.6138059701492544,0.10779436152570507,0.1423721340388007,0.2035743899549869,0.802469135802469,0.6127694859038143,,6,D5_M6,P8_G4
571,P8_D5_G4_M6_R1_T1,3.7,P8,MC,DI,Z3,A1,12.8,P,1.0,5,5,2,5,7,7,5,5,5.0,3,3,1,4,3,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.75,4.666666666666667,4.208333333333334,D5,M6,R1,0.08470916641962768,-0.0024914460711655,0.06127111819458909,6.707597440443654e-18,0.1472222222222222,0.28177916733472286,29,650,0.7187500000000003,-0.18749999999999983,0.5185185185185188,1.6735584111942173e-16,0.16111111111111107,0.28177916733472286,0.5416666666666666,0.4012345679012346,0.08969205856195872,-0.0024914460711655253,0.06886803169848574,-0.00014874304902480763,0.1482142857142857,0.2035743899549869,28,,0.7500000000000004,-0.1111111111111108,0.6138059701492544,0.10779436152570507,0.15863095238095234,0.2035743899549869,0.7222222222222222,0.6127694859038143,,7,D5_M6,P8_G4
572,P8_D5_G4_M6_R1_T1,3.8,P8,MC,DC,Z3,A1,12.6,P,1.0,5,5,2,5,7,7,5,5,5.0,3,3,1,4,3,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.75,4.666666666666667,4.208333333333334,D5,M6,R1,0.05580839199410766,-0.00597947057079728,0.06127111819458909,6.707597440443654e-18,0.4066666666666666,0.28177916733472286,18,650,0.5000000000000007,0.09999999999999876,0.5185185185185188,1.6735584111942173e-16,0.4066666666666666,0.28177916733472286,0.3,0.4012345679012346,0.06178786256490491,-0.00797262742772966,0.06886803169848574,-0.00014874304902480763,0.19666666666666663,0.2035743899549869,26,,0.5500000000000007,0.1555555555555555,0.6138059701492544,0.10779436152570507,0.1852380952380952,0.2035743899549869,0.6222222222222221,0.6127694859038143,,8,D5_M6,P8_G4
573,P8_D5_G4_M6_R1_T1,2.2,P8,MC,DC,Z1,A1,12.7,P,0.5,5,5,2,5,7,7,5,5,5.0,3,3,1,4,3,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.75,4.666666666666667,4.208333333333334,D5,M6,R1,0.0597947057079725,-0.0033219280948874005,0.06127111819458909,6.707597440443654e-18,0.5111111111111111,0.28177916733472286,9,650,0.33333333333333376,-0.3333333333333333,0.5185185185185188,1.6735584111942173e-16,0.39999999999999997,0.28177916733472286,0.16666666666666666,0.4012345679012346,0.06643856189774723,0.0033219280948873337,0.06886803169848574,-0.00014874304902480763,0.22539682539682537,0.2035743899549869,15,,0.5416666666666674,0.03703703703703717,0.6138059701492544,0.10779436152570507,0.2698412698412698,0.2035743899549869,0.4814814814814814,0.6127694859038143,,9,D5_M6,P8_G4
574,P8_D5_G4_M6_R1_T1,6.6,P8,MC,DC,Z1,A2,12.8,P,1.0,5,5,2,5,7,7,5,5,5.0,3,3,1,4,3,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.75,4.666666666666667,4.208333333333334,D5,M6,R1,0.028651629818403437,-0.004982892142331025,0.06127111819458909,6.707597440443654e-18,0.25,0.28177916733472286,5,650,0.09375000000000014,-0.03124999999999946,0.5185185185185188,1.6735584111942173e-16,0.1875,0.28177916733472286,0.0625,0.4012345679012346,0.05854898267238974,-0.0024914460711655123,0.06886803169848574,-0.00014874304902480763,0.2645833333333333,0.2035743899549869,33,,0.48437500000000067,0.11111111111111138,0.6138059701492544,0.10779436152570507,0.24374999999999997,0.2035743899549869,0.5,0.6127694859038143,,10,D5_M6,P8_G4
