,Name,Participant,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_subj,Imp_avg,Flow_subj,Flow_avg,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ_Av,CTW_Av,MIR_entropy,MIR_entropy_avg,MIR_rms,MIR_rms_avg,MIR_novelty,MIR_novelty_avg,var_entropy,var_entropy_avg
1972,P5_D5_G3_M5_R1_T1,G3,MC,DC,Z3,A1,5.13,3.8620380834247388,3.2,4.386039908292398,4.230769230769231,0.21791645332504195,0.16153808784293813,IMP1,1.0,4,5,6,7,7,7,6,7,6,6,6,1,6,6,7.0,7.0,5.25,6.333333333333333,5.791666666666666,D5,M5,R1,0.2522199628629754,0.3264685704012815,0.7032492807500954,0.7027728815036836,0.005514248167934376,0.004848122312487703,0.5020304536879711,0.376089045131503,51.77910650969778,50.371721442140846
1973,P5_D5_G3_M5_R1_T1,G3,MC,DC,Z3,A1,5.14,4.0,3.2,4.537037037037036,4.230769230769231,0.2847348473228585,0.14284154989815365,IMP1,0.5,4,5,6,7,7,7,6,7,6,6,6,1,6,6,7.0,7.0,5.25,6.333333333333333,5.791666666666666,D5,M5,R1,0.2522199628629754,0.3264685704012815,0.6885248298104997,0.7027728815036836,0.007204009935687706,0.004848122312487703,,0.376089045131503,50.31145234374077,50.371721442140846
1974,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z1,A3,2.1,1.0,1.9,7.0,5.5,0.0023046834594765094,0.0078865396421636,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.6486760945769642,0.7306474529165379,0.003821220405527033,0.013198174318938155,0.17757661625630738,0.29455339450778745,50.3334874824271,52.955215295112126
1975,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z1,A3,2.2,1.0,1.9,6.999999999999999,5.5,0.0018573779871474546,0.007070690713663918,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.6672413291842361,0.7306474529165379,0.003961700077296075,0.013198174318938155,0.19503503892654664,0.29455339450778745,50.18560768597468,52.955215295112126
1976,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z1,A3,2.3,0.9286059139255626,1.9,7.0,5.5,0.034143300660284585,0.028826662140322253,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.6881234387186795,0.7306474529165379,0.006364260282303128,0.013198174318938155,0.326798271510538,0.29455339450778745,50.918587936958176,52.955215295112126
1977,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z2,A3,2.4,1.0,1.9,7.0,5.5,0.10371863611052211,0.07696174892180384,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.6915082561136103,0.7306474529165379,0.009214420675845035,0.013198174318938155,0.27560819522702124,0.29455339450778745,52.882422646381194,52.955215295112126
1978,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z3,A3,2.5,1.0,1.9,7.0,5.5,0.2771233474037907,0.20097078605375637,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.7333653401501297,0.7306474529165379,0.014406387160071383,0.013198174318938155,0.20936699526526964,0.29455339450778745,54.23678246883071,52.955215295112126
1979,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z3,A3,2.6,1.0,1.9,7.0,5.5,0.3386245355583992,0.28527517533205743,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.7539355382582037,0.7306474529165379,0.020622872983542092,0.013198174318938155,0.1961477036217933,0.29455339450778745,55.12972579420221,52.955215295112126
1980,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z3,A2,2.7,1.0,1.9,7.0,5.5,0.473126740261704,0.3416231413271026,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.756566792094165,0.7306474529165379,0.024635436742933187,0.013198174318938155,0.4334775058493328,0.29455339450778745,55.28824134503502,52.955215295112126
1981,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z1,A2,2.8,1.1591906955114177,1.9,7.0,5.5,0.07396769000438046,0.042800689941291284,IMP0,5.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.726831219097118,0.7306474529165379,0.007126098817683092,0.013198174318938155,0.4268906603469153,0.29455339450778745,50.490679632791235,52.955215295112126
1982,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z1,A2,2.9,0.9980606059019546,1.9,7.0,5.5,0.017458316964907447,0.017676726784159855,IMP0,4.5,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.754160939792946,0.7306474529165379,0.004971885904102317,0.013198174318938155,0.2522203801596166,0.29455339450778745,50.58725827756255,52.955215295112126
1983,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z3,A3,2.1,1.0,1.9,7.0,5.5,0.17811448772883295,0.15990638998593876,IMP0,4.5,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.7412958138625435,0.7306474529165379,0.01434708195966215,0.013198174318938155,0.21031133171105845,0.29455339450778745,53.41042863082769,52.955215295112126
1984,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z3,A3,2.11,1.0,1.9,7.0,5.5,0.3347425272597064,0.26243140533406617,IMP0,4.5,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.7434762378287884,0.7306474529165379,0.018541599294391142,0.013198174318938155,0.2158595004611092,0.29455339450778745,55.53010166616989,52.955215295112126
1985,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z3,A3,2.12,1.0,1.9,7.0,5.5,0.45340973013300223,0.31081124679409766,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.7632679891703159,0.7306474529165379,0.021400414428979237,0.013198174318938155,0.2576457952703166,0.29455339450778745,55.84539363896516,52.955215295112126
1986,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z2,A2,2.13,1.0,1.9,7.0,5.5,0.41495031919264547,0.32546933254280874,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.7679875597536382,0.7306474529165379,0.023214923753533248,0.013198174318938155,0.24799223639033946,0.29455339450778745,55.363674740981665,52.955215295112126
1987,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z3,A1,2.14,1.0,1.9,7.0,5.5,0.16437184802941307,0.13095886133769055,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.7554248993808991,0.7306474529165379,0.01243829928595052,0.013198174318938155,0.20718565311774326,0.29455339450778745,52.95451613262483,52.955215295112126
1988,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z3,A1,2.15,1.0,1.9,7.0,5.5,0.283880561855811,0.23243535972956103,IMP0,4.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.755521345901684,0.7306474529165379,0.01765037520992743,0.013198174318938155,0.30822768102099507,0.29455339450778745,54.74771712322048,52.955215295112126
1989,P3_D1_G1_M6_R1_T1,G1,MC,DI,Z2,A1,2.16,1.5208333333333348,1.9,5.95833333333333,5.5,0.4350034311945941,0.40932953740448225,IMP0,2.0,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1,0.3701248608976148,0.4001463249842719,0.7571277533920783,0.7306474529165379,0.029399975276452127,0.013198174318938155,0.8329315479299559,0.29455339450778745,54.156225135717555,52.955215295112126
