,sample,time,LZ,CTW
0,5,0.00010416666666666667,,
1,20,0.0004166666666666667,,
2,45,0.0009375,0.48816471967374886,0.48816471967374886
3,80,0.0016666666666666668,0.2370723035582761,0.2370723035582761
4,125,0.0026041666666666665,0.2229050971091868,0.2229050971091868
5,180,0.00375,0.20810703045360207,0.20810703045360207
6,245,0.005104166666666667,0.22676108397150202,0.22676108397150202
7,320,0.006666666666666667,0.20804820237218405,0.20804820237218405
8,405,0.0084375,0.1710968513140146,0.1710968513140146
9,500,0.010416666666666666,0.19724725426256592,0.19724725426256592
10,605,0.012604166666666666,0.18328842311726196,0.18328842311726196
11,720,0.015,0.17138068090595246,0.17138068090595246
12,845,0.017604166666666667,0.20711305983556433,0.20711305983556433
13,980,0.020416666666666666,0.2027885293673994,0.2027885293673994
14,1125,0.0234375,0.16217134857767038,0.16217134857767038
15,1280,0.02666666666666667,0.19353615177913802,0.19353615177913802
16,1445,0.030104166666666668,0.19613498407576274,0.19613498407576274
17,1620,0.03375,0.1974403351439257,0.1974403351439257
18,1805,0.03760416666666667,0.1917834126851995,0.1917834126851995
19,2000,0.041666666666666664,0.18641833283925546,0.18641833283925546
20,2205,0.0459375,0.1813316398439981,0.1813316398439981
21,2420,0.050416666666666665,0.181153248741453,0.181153248741453
22,2645,0.05510416666666667,0.1891260069217622,0.1891260069217622
23,2880,0.06,0.18355043139971008,0.18355043139971008
24,3125,0.06510416666666667,0.18203916263916922,0.18203916263916922
25,3380,0.07041666666666667,0.18381917134674142,0.18381917134674142
26,3645,0.0759375,0.18502251760088204,0.18502251760088204
27,3920,0.08166666666666667,0.1735684598273333,0.1735684598273333
28,4205,0.08760416666666666,0.1774908882946101,0.1774908882946101
29,4500,0.09375,0.17259675429126256,0.17259675429126256
30,4805,0.10010416666666666,0.17562791454331256,0.17562791454331256
31,5120,0.10666666666666667,0.18290362015848427,0.18290362015848427
32,5445,0.1134375,0.20969438065961302,0.20969438065961302
33,5780,0.12041666666666667,0.22053271371861252,0.22053271371861252
34,6125,0.12760416666666666,0.23415123766214066,0.23415123766214066
35,6480,0.135,0.23838532838397877,0.23838532838397877
36,6845,0.14260416666666667,0.25314149545007386,0.25314149545007386
37,7220,0.15041666666666667,0.26097148461230696,0.26097148461230696
38,7605,0.1584375,0.2695521989066779,0.2695521989066779
39,8000,0.16666666666666666,0.27552291604906937,0.27552291604906937
40,8405,0.17510416666666667,0.2714432621322567,0.2714432621322567
41,8820,0.18375,0.28531293475798386,0.28531293475798386
42,9245,0.19260416666666666,0.28928230326351395,0.28928230326351395
43,9680,0.20166666666666666,0.2954556743540271,0.2954556743540271
44,10125,0.2109375,0.29830903538499787,0.29830903538499787
45,10580,0.22041666666666668,0.30579495138887863,0.30579495138887863
46,11045,0.23010416666666667,0.3064408022776953,0.3064408022776953
47,11520,0.24,0.30567479671371917,0.30567479671371917
48,12005,0.2501041666666667,0.2980054822776421,0.2980054822776421
49,12500,0.2604166666666667,0.3048559466273846,0.3048559466273846
50,13005,0.2709375,0.3058079680614866,0.3058079680614866
51,13520,0.2816666666666667,0.2984101637695153,0.2984101637695153
52,14045,0.29260416666666667,0.2991968349038232,0.2991968349038232
53,14580,0.30375,0.30262779757540204,0.30262779757540204
