,sample,time,LZ,CTW
0,5,0.00010416666666666667,,
1,20,0.0004166666666666667,,
2,45,0.0009375,1.2204117991843721,1.2204117991843721
3,80,0.0016666666666666668,0.3160964047443681,0.3160964047443681
4,125,0.0026041666666666665,0.6687152913275604,0.6687152913275604
5,180,0.00375,0.2497284365443225,0.2497284365443225
6,245,0.005104166666666667,0.35633884624093176,0.35633884624093176
7,320,0.006666666666666667,0.3900903794478451,0.3900903794478451
8,405,0.0084375,0.5346776603562956,0.5346776603562956
9,500,0.010416666666666666,0.5379470570797252,0.5379470570797252
10,605,0.012604166666666666,0.5498652693517859,0.5498652693517859
11,720,0.015,0.6327902064219783,0.6327902064219783
12,845,0.017604166666666667,0.5983266173027414,0.5983266173027414
13,980,0.020416666666666666,0.43599533813990876,0.43599533813990876
14,1125,0.0234375,0.3783998133478976,0.3783998133478976
15,1280,0.02666666666666667,0.3709442909100146,0.3709442909100146
16,1445,0.030104166666666668,0.41406274415994354,0.41406274415994354
17,1620,0.03375,0.3685552922686613,0.3685552922686613
18,1805,0.03760416666666667,0.3356209721990991,0.3356209721990991
19,2000,0.041666666666666664,0.28511039140121425,0.28511039140121425
20,2205,0.0459375,0.3022193997399968,0.3022193997399968
21,2420,0.050416666666666665,0.3390817220032326,0.3390817220032326
22,2645,0.05510416666666667,0.33526883045221484,0.33526883045221484
23,2880,0.06,0.33916927541250774,0.33916927541250774
24,3125,0.06510416666666667,0.35664815537469885,0.35664815537469885
25,3380,0.07041666666666667,0.36417005644165756,0.36417005644165756
26,3645,0.0759375,0.36030700795961246,0.36030700795961246
27,3920,0.08166666666666667,0.3867227087380935,0.3867227087380935
28,4205,0.08760416666666666,0.3778838266917505,0.3778838266917505
29,4500,0.09375,0.3856458728695398,0.3856458728695398
30,4805,0.10010416666666666,0.3945264746987456,0.3945264746987456
31,5120,0.10666666666666667,0.40912651877555695,0.40912651877555695
32,5445,0.1134375,0.40571304084142507,0.40571304084142507
33,5780,0.12041666666666667,0.4107962314366311,0.4107962314366311
34,6125,0.12760416666666666,0.4005218538957669,0.4005218538957669
35,6480,0.135,0.40642744511366874,0.40642744511366874
36,6845,0.14260416666666667,0.41507759915710646,0.41507759915710646
37,7220,0.15041666666666667,0.38346830392012454,0.38346830392012454
38,7605,0.1584375,0.3865276814510853,0.3865276814510853
39,8000,0.16666666666666666,0.3808699133619488,0.3808699133619488
40,8405,0.17510416666666667,0.38622498440532527,0.38622498440532527
41,8820,0.18375,0.3774452366069161,0.3774452366069161
42,9245,0.19260416666666666,0.3776345338169024,0.3776345338169024
43,9680,0.20166666666666666,0.36795174259830227,0.36795174259830227
44,10125,0.2109375,0.38109964872973295,0.38109964872973295
45,10580,0.22041666666666668,0.3854027279901156,0.3854027279901156
46,11045,0.23010416666666667,0.39399531721417963,0.39399531721417963
47,11520,0.24,0.3993682209937864,0.3993682209937864
48,12005,0.2501041666666667,0.39169659981190086,0.39169659981190086
49,12500,0.2604166666666667,0.3788923908083209,0.3788923908083209
50,13005,0.2709375,0.3762173627698014,0.3762173627698014
51,13520,0.2816666666666667,0.3735202049904137,0.3735202049904137
52,14045,0.29260416666666667,0.3708078806349022,0.3708078806349022
53,14580,0.30375,0.3709325042381887,0.3709325042381887
