,t0,LZ,CTW
mean,166417.0,0.20724226945000107,0.2742672764578547
0.0,0.0,0.023009702439869276,0.015791715419520173
4.0,4.0,0.05020298714153298,0.07518699041851629
8.0,8.0,0.03137686696345811,0.044473398890835576
12.0,12.0,0.21963806874420674,0.31515343986405575
16.0,16.0,0.16315970820998216,0.24506641011855476
20.0,20.0,0.027193284701663694,0.039910218355582734
24.0,24.0,0.3074932962418895,0.4177723961306031
28.0,28.0,0.16315970820998216,0.23309201484611125
32.0,32.0,0.2865753849329174,0.3529016069298741
36.0,36.0,0.41208285278674983,0.45980390755991923
40.0,40.0,0.30958508737278667,0.4134314463380503
44.0,44.0,0.21963806874420674,0.2501042324684738
48.0,48.0,0.1694350816026738,0.35164456729323873
52.0,52.0,0.12969105011562684,0.21586397311270555
56.0,56.0,0.3200440430272727,0.3904824592698946
60.0,60.0,0.20499553082792632,0.41222917758662575
64.0,64.0,0.04811119601063576,0.07345900145319274
68.0,68.0,0.023009702439869276,0.02286827754295756
72.0,72.0,0.027193284701663694,0.04222430569560058
76.0,76.0,0.03137686696345811,0.042691822418521735
80.0,80.0,0.027193284701663694,0.027427770473798803
84.0,84.0,0.10249776541396316,0.1280775610755839
88.0,88.0,0.30958508737278667,0.5546370299910413
92.0,92.0,0.21963806874420674,0.24698764558698
96.0,96.0,0.48947912462994647,0.5876708029400091
100.0,100.0,0.7049336111123587,0.7682646022143687
104.0,104.0,0.575242560996732,0.6779996903674614
