Label: FSR adapter 15: FSR.A 15 Sampling frequency: 2.962963e+002 Number of points: 1332 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 15: FSR.B 15 Sampling frequency: 2.962963e+002 Number of points: 1332 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 15: FSR.C 15 Sampling frequency: 2.962963e+002 Number of points: 1332 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 15: FSR.D 15 Sampling frequency: 2.962963e+002 Number of points: 1332 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 15: ACC.X 15 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: g Domain Unit: s
Label: FSR adapter 15: ACC.Y 15 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: g Domain Unit: s
Label: FSR adapter 15: ACC.Z 15 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: g Domain Unit: s
Label: FSR adapter 15: GYRO.X 15 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: °/s Domain Unit: s
Label: FSR adapter 15: GYRO.Y 15 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: °/s Domain Unit: s
Label: FSR adapter 15: GYRO.Z 15 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: °/s Domain Unit: s
Label: FSR adapter 16: FSR.A 16 Sampling frequency: 2.962963e+002 Number of points: 1332 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.B 16 Sampling frequency: 2.962963e+002 Number of points: 1332 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.C 16 Sampling frequency: 2.962963e+002 Number of points: 1332 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.D 16 Sampling frequency: 2.962963e+002 Number of points: 1332 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: ACC.X 16 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: g Domain Unit: s
Label: FSR adapter 16: ACC.Y 16 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: g Domain Unit: s
Label: FSR adapter 16: ACC.Z 16 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: g Domain Unit: s
Label: FSR adapter 16: GYRO.X 16 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: °/s Domain Unit: s
Label: FSR adapter 16: GYRO.Y 16 Sampling frequency: 1.481481e+002 Number of points: 666 X start: 0.000000e+000 Unit: °/s Domain Unit: s
