Time_Start;Time_End; Value
0;15.839722011444092;1
15.839722011444092;20.042807045776367;2
20.042807045776367;31.207499118255615;3
31.207499118255615;39.107;2
39.107;49.10606309536743;3
49.10606309536743;51.04420793133545;4
51.04420793133545;63.815856200271604;2
63.815856200271604;76.44184499046325;3
76.44184499046325;85.70835604577637;2
85.70835604577637;93.5465830705719;3
93.5465830705719;106.26865702098084;2
106.26865702098084;115.73782695994568;4
115.73782695994568;125.62303596566773;3
125.62303596566773;140.12009105722046;5
140.12009105722046;146.4556171373291;3
146.4556171373291;157.86728604196168;4
157.86728604196168;169.969259207901;5
169.969259207901;175.1784220667572;4
175.1784220667572;187.22681385313416;3
187.22681385313416;190;3
