Time, Value
1.8152188817443848,1
14.701078003814697,2
25.720199938964843,3
30.626978116348266,2
35.953807059127804,4
41.66723196948242,5
46.62967606866455,2
53.60157411634827,1
59.45881300953674,2
71.72217398664856,3
76.58304594277953,2
84.30188892752075,2
88.77817111062622,3
103.93603098474121,2
113.11155396566772,4
126.44250695803834,5
138.3298221525879,6
144.0954129446869,2
154.4391860324249,3
158.91889996757507,2
164.54660508010863,4
169.077244874115,2
178.53354297138978,3
181.96587497520446,2
185.82058805531312,5
189.7785060400543,2
197.08759193896483,3
200.94449594659423,2
