Time, Value
6.630623979019165,1
22.595697143051147,2
36.047543045776365,1
47.3899908626709,2
54.073829122070315,4
55.59458279019165,5
62.88929791416931,3
71.29902494468689,2
83.20860587983704,3
93.37244301335144,3
94.46352483406066,2
103.10799799809266,3
111.4523559408722,3
113.81269982452393,4
127.47091509155274,5
138.76446798664855,6
144.4705818664856,5
147.5169289103546,3
153.43300382833863,4
161.62599891416932,2
166.61742587030028,1
169.66214493515014,3
173.12251986839294,4
178.78905399427796,3
186.56627693133544,4
