Time_Start;Time_End; Value
0;0.03900005340576172;1
0.03900005340576172;18.985697910354613;3
18.985697910354613;29.63119096948242;4
29.63119096948242;39.04591305149841;5
39.04591305149841;47.06497199809265;6
47.06497199809265;55.94324008392334;7
55.94324008392334;59.998358003814694;5
59.998358003814694;62.81584712207031;6
62.81584712207031;71.2045980152588;7
71.2045980152588;77.82044887602234;6
77.82044887602234;82.57495017547608;7
82.57495017547608;93.64714412397767;7
93.64714412397767;95.88047805912781;6
95.88047805912781;102.43807604005433;7
102.43807604005433;109.32081795422363;4
109.32081795422363;114.4827520591278;7
114.4827520591278;120.48920187030029;6
120.48920187030029;128.19502488365174;5
128.19502488365174;131.07581889318848;7
131.07581889318848;138.65344788555907;5
138.65344788555907;142.65889099809266;4
142.65889099809266;147.49117283596803;7
147.49117283596803;156.64033915449525;7
156.64033915449525;162.04309492561342;6
162.04309492561342;165.740044043869;4
165.740044043869;174.70602814686583;6
174.70602814686583;179.62291086839295;7
179.62291086839295;185.591887956131;5
185.591887956131;187.83843308964538;7
187.83843308964538;198.0126950476837;6
198.0126950476837;205.87543087220763;7
205.87543087220763;210;7
