Time, Value
21.57801092752075,3
24.442280078201293,4
52.24889394659424,5
84.49577703814697,4
108.1555059256134,5
123.24956203623962,6
144.5718611144409,5
152.6873620114441,7
157.85052687602234,6
163.01398291607666,7
169.5835959408722,6
178.8959471182556,5
185.33713610299682,6
193.20017093896485,5
194.04650601525879,4
203.42339895994567,5
208.9603249256134,6
236.00017399427796,5
247.12569895040895,6
249.36093611444093,7
258.1340501049042,6
264.7220579656677,5
274.20375408392334,6
276.36769381689453,5
272.45742615830994,5
