Time_Start;Time_End; Value
0;2.483855797821045;1
2.483855797821045;14.33469302861023;3
14.33469302861023;24.719729108718873;2
24.719729108718873;33.78865384169006;4
33.78865384169006;40.44436191416931;5
40.44436191416931;48.04129594087219;6
48.04129594087219;55.74820898664856;4
55.74820898664856;61.30762507247925;5
61.30762507247925;71.2570151373291;6
71.2570151373291;77.10510101907349;5
77.10510101907349;84.30550800190736;6
84.30550800190736;91.48928784931945;4
91.48928784931945;96.04701790463257;3
96.04701790463257;102.63845010681152;4
102.63845010681152;113.13896297901917;5
113.13896297901917;114.97244495422363;6
114.97244495422363;122.55659602098083;4
122.55659602098083;126.32587309346009;5
126.32587309346009;132.30678207820128;6
132.30678207820128;140.1754899256134;5
140.1754899256134;148.39902716975402;4
148.39902716975402;151.29290902479553;6
151.29290902479553;161.4317150743866;5
161.4317150743866;166.15257312207032;6
166.15257312207032;175.1852349961853;7
175.1852349961853;178.9703209771118;5
178.9703209771118;183.27167504196166;4
183.27167504196166;186.50762016403198;6
186.50762016403198;190;6
