Time, Value
11.029104866485596,4
22.776128862670898,5
30.17885505722046,3
33.39940100190735,6
42.93327108392334,7
50.47687900190735,5
60.79031303433228,3
65.31640489891052,2
75.12648818882751,6
76.71582816403198,7
86.42518902098084,6
97.85967688555908,4
104.63742308964538,3
110.6722179923706,5
118.49572391798401,7
127.1039108703003,6
131.72794903433228,7
136.5393519961853,3
144.17281399427796,6
151.20217997329712,5
154.7914140152588,7
167.04580905149842,4
178.19960308010863,3
183.7423381850128,5
191.17213588555907,3
200.06743210108948,2
211.05254300190734,3
216.6901890305176,2
224.7103602155304,4
232.37045787220765,4
233.396530874115,5
240.1325909523163,6
247.70025705722045,7
