Time, Value
11.20966802670288,1
16.76881098664856,3
24.32495715449524,5
33.8903920743866,6
38.281090990463255,2
45.81548903242493,4
50.92872782261658,3
53.84668916784668,1
68.54311204386902,2
79.9714330038147,3
102.12123207247924,3
111.40415419645691,5
117.81335202098083,2
120.1022369923706,1
124.58156716593933,3
129.8907870038147,6
132.56861698664855,7
136.80767297138976,3
150.4686489809265,4
157.11478489700318,3
171.3237949923706,7
177.68538290653993,5
181.7083331144409,6
188.00954817929076,3
197.99953797901915,3
