Time, Value
8.016837165939332,1
39.01643790272522,3
44.65634498474121,5
51.856694925613404,6
58.074628982833865,4
61.75075902670288,3
67.76565283787536,4
71.31622716212463,5
74.02021105340576,6
83.11549207629395,5
86.93147310108948,6
89.99792398092652,3
93.36820007247925,5
98.22514611062623,6
105.2734169256134,7
111.51550202670288,6
115.95444705149842,4
124.19965497520447,4
128.59904003814697,2
135.83716687983704,4
138.75632718310547,6
144.38183520217896,3
151.37032904386902,5
161.42866000381468,4
167.59165610871887,7
173.4945079332428,5
175.1603280190735,6
182.17341793515016,2
189.05065612016296,1
193.88378705340577,2
199.67235408583068,4
206.1527328855591,5
208.8875380076294,4
211.99021201525878,6
217.30826196757508,7
227.97939000953673,3
