Start;End; Value
0;14.759908979019166;1
14.759908979019166;26.426050963760375;5
26.426050963760375;29.502392051498415;6
29.502392051498415;34.44504399237061;7
34.44504399237061;40.5453299256134;4
40.5453299256134;45.29047203623962;3
45.29047203623962;50.57056613923645;7
50.57056613923645;56.08804408583069;3
56.08804408583069;63.11436919836426;5
63.11436919836426;67.04838216021729;4
67.04838216021729;74.55948702098084;2
74.55948702098084;83.99145303051758;3
83.99145303051758;96.97046190844726;4
96.97046190844726;105.70911216212464;3
105.70911216212464;111.35372597329712;4
111.35372597329712;120.90357910681152;3
120.90357910681152;124.86364609155274;4
124.86364609155274;129.09536608773803;5
129.09536608773803;136.98206387792968;3
136.98206387792968;140.25619002288818;7
140.25619002288818;148.48949687220764;5
148.48949687220764;149.4783579332428;5
149.4783579332428;159.08833295803834;6
159.08833295803834;161.58668309155274;5
161.58668309155274;169.4812199961853;6
169.4812199961853;174.63800916212463;3
174.63800916212463;184.8586041449585;6
184.8586041449585;190.06644997138977;7
190.06644997138977;193.43450387602235;4
193.43450387602235;196.7286969408722;3
196.7286969408722;201.36815801144408;2
201.36815801144408;209.09795183978272;1
209.09795183978272;217.71310286457825;2
217.71310286457825;219.60017712397766;1
219.60017712397766;229.900797792099;3
229.900797792099;243.98715104005433;4
243.98715104005433;249.78571700953674;5
249.78571700953674;250;6
