Time, Value
20.33471383406067,2
65.14219299046326,1
84.38302283787537,3
96.93872797329712,2
105.44500418882751,1
119.92113615068054,4
137.30480392752077,4
150.54347599427794,2
160.59891896376038,1
167.17400296757506,1
173.13290481689452,1
180.4606880705719,4
189.58348099427795,4
203.730007917984,4
216.85996179972838,1
229.5419720591278,3
238.7693398474121,1
244.4731509446869,5
249.1492669370575,6
265.26583098283385,4
276.42369601335145,1
297.67341386076356,2
321.3850901411438,1
331.42771382070924,1
353.24061907629397,1
356.1067439809265,3
376.6200088722076,1
382.48149695231626,2
387.20841499046327,1
