Time, Value
2.483855797821045,1
14.33469302861023,3
24.719729108718873,2
33.78865384169006,4
40.44436191416931,5
48.04129594087219,6
55.74820898664856,4
61.30762507247925,5
71.2570151373291,6
77.10510101907349,5
84.30550800190736,6
91.48928784931945,4
96.04701790463257,3
102.63845010681152,4
113.13896297901917,5
114.97244495422363,6
122.55659602098083,4
126.32587309346009,5
132.30678207820128,6
140.1754899256134,5
148.39902716975402,4
151.29290902479553,6
161.4317150743866,5
166.15257312207032,6
175.1852349961853,7
178.9703209771118,5
183.27167504196166,4
186.50762016403198,6
