Time, Value
4.960995938964844,1
17.055623921798706,2
19.533216022888183,3
23.79680109536743,4
30.247004828338625,5
37.78768010681152,3
43.20943379782104,4
52.41269983024597,5
61.26907701144409,5
66.3772060705719,4
70.30794410490418,5
85.15389315830994,4
89.41032794850159,6
114.30406509346008,5
118.82049300953675,4
120.4507189885559,3
129.7653291335144,4
135.60143593133546,5
142.60865109536743,6
147.46125309155272,7
153.41473595040893,7
161.27456398664856,5
163.96986898092652,6
171.2214248855591,6
172.15515816975403,5
179.23008891035462,6
187.2937888893738,7
