Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
Seguirya - IMP1,Seguirya,6.00,1.22,2.00,0.71,4.00,1.07,3.50,0.93,4.88,1.32,5.00,0.71,3.00,-0.27,5.00,0.00,4.00,0.39
Seguirya - COM1,Seguirya,2.00,-1.22,2.00,0.71,1.00,-1.34,1.00,-1.39,1.00,-1.09,3.33,-1.41,7.00,1.34,7.00,1.22,5.00,0.98
Seguirya - IMP2,Seguirya,4.00,0.00,1.00,-1.41,3.00,0.27,3.00,0.46,2.38,-0.23,5.00,0.71,1.00,-1.07,3.00,-1.22,1.00,-1.37
mean,Seguirya,4.00,0.00,1.67,-0.00,2.67,0.00,2.50,0.00,2.75,0.00,4.44,-0.00,3.67,0.00,5.00,0.00,3.33,-0.00
std,Seguirya,1.41,0.87,0.41,0.87,1.08,0.87,0.94,0.87,1.39,0.87,0.68,0.87,2.16,0.87,1.41,0.87,1.47,0.87
