Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
Solea - IMP1,Solea,7.00,0.71,4.00,0.71,3.00,-1.41,2.00,-0.71,3.12,1.10,5.67,-1.34,5.00,1.22,4.00,0.71,5.00,0.98
Solea - IMP1_2,Solea,7.00,0.71,4.00,0.71,4.00,0.71,3.00,1.41,2.62,0.22,6.33,0.27,3.00,0.00,4.00,0.71,4.00,0.39
Solea - IMP2,Solea,4.00,-1.41,3.00,-1.41,4.00,0.71,2.00,-0.71,1.75,-1.32,6.67,1.07,1.00,-1.22,1.00,-1.41,1.00,-1.37
mean,Solea,6.00,0.00,3.67,0.00,3.67,0.00,2.33,-0.00,2.50,-0.00,6.22,-0.00,3.00,0.00,3.00,0.00,3.33,-0.00
std,Solea,1.22,0.87,0.41,0.87,0.41,0.87,0.41,0.87,0.49,0.87,0.36,0.87,1.41,0.87,1.22,0.87,1.47,0.87
